vehicle_id,position_x,position_y,position_z,heading,speed,speed_command,mileage_distance,power_on_time,soc,fuel_level,chassis_mode,estop,task_state_running,task_state_estop,task_state_lock,task_stage,current_task,error_code,target_location,vesselVisitID,mission_type,container1_type,container2_type,vehicle_mode,missionID,port,hour,day_of_week,avg_speed_5min,needs_charging
A022,154.233978271484,-218.729309082031,0,0.0009326396975666,0.0,0.0,11339,30930888,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,13,5,0.0,0
A022,154.221878051757,-218.728103637695,0,0.0005667681107297,0.0,0.0,11339,30936910,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,15,5,0.0,0
A028,-173.617370605468,13.0839958190917,0,-5.20204885106e-05,3.52929615974426,3.23420071601867,11419,31048816,59,0,1,0,1,0,0,0.02444533014481201,0.0,0.0,2.1449940316843186e-06,0.0,0.0,0.0,0.015729184475978798,0.0,6c9eb5ba-9fdc-11ed-8e85-0242ac11003c,changjinxiantai,21,6,5.109101819992061,0
A022,-269.873992919921,-97.4629821777343,0,-0.0044778012670576,1.23600959777832,1.22560143470764,11332,30914202,79,0,1,0,1,0,0,0.02444533014481201,0.0,0.0,7.953511038351424e-10,0.0,0.0,0.0,0.015729184475978798,0.0,4d15657e-9ea4-11ed-8856-0242ac110030,tianhaiheda,8,5,0.9628297090530378,0
A022,-248.316192626953,2.06437683105468,0,-0.0032483534887433,0.0,0.0,11334,30915288,78,0,1,0,0,0,0,4.799157033272741e-08,0.0,0.0,1.3079257745695414e-08,0.0,0.0,0.0,0.015729184475978798,0.0,af0ad1c2-9ea6-11ed-8e1d-0242ac110030,tianhaiheda,9,5,0.0,0
A022,154.225769042968,-218.727600097656,0,0.0006443188758566,0.0,0.0,11339,30931776,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,14,5,0.0,0
A022,-13.0318155288696,80.6746215820312,0,1.53986740112304,0.0,0.0,11335,30923060,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,11,5,0.0,0
A022,154.222900390625,-218.726486206054,0,0.0008123620063997,0.0,0.0,11339,30934450,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,14,5,0.0,0
A022,-13.0283412933349,80.672981262207,0,1.54024267196655,0.0,0.0,11335,30919864,77,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.0,-,tianhaiheda,10,5,0.0,0
A022,-13.0366144180297,80.6826248168945,0,1.54049742221832,0.0,0.0,11335,30919480,77,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.0,-,tianhaiheda,10,5,0.0,0
A022,154.221481323242,-218.726776123046,0,0.0006732418551109,0.0,0.0,11339,30930606,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,13,5,0.0,0
A022,154.22492980957,-218.73062133789,0,0.0007501990185119,0.0,0.0,11339,30930298,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,13,5,0.0,0
A022,154.22346496582,-218.723815917968,0,0.0009996531298384,0.0,0.0,11339,30930956,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,13,5,0.0,0
A022,-127.274803161621,163.585418701171,0,0.37648206949234,0.0,0.0,11335,30916660,76,0,2,0,0,0,0,0.02444533014481201,0.0,0.00023238346995744954,8.812741892785757e-11,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,5f65e8a6-9eaa-11ed-9308-0242ac110030,tianhaiheda,9,5,0.0,0
A022,154.222869873046,-218.729248046875,0,0.0007624480058439,0.0,0.0,11339,30936428,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,15,5,0.0,0
A022,154.237548828125,-218.728042602539,0,0.0005659186281263,0.0,0.0,11339,30932814,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,14,5,0.0,0
A022,154.23208618164,-218.720016479492,0,0.0012157218297943,0.0,0.0,11339,30935964,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,15,5,0.0,0
A022,-13.0245170593261,80.6879653930664,0,1.53840267658233,0.0,0.0,11335,30922846,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,11,5,0.0,0
A022,-13.0195236206054,80.6722564697265,0,1.53880715370178,0.0,0.0,11335,30922718,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,11,5,0.0,0
A022,-13.0129823684692,80.6860046386718,0,1.53760039806365,0.0,0.0,11335,30927516,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,12,5,0.0,0
